Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brunei Darussalam,BRN,Individuals using the Internet (% of population),8.99628453448726,12.9177690823013,15.329879855735,19.5950032207342,29.7156041447864,36.4663919475782,42.1863491609307,44.68,46,49,53,56,60.2730650423193,64.5,68.77,71.2,90,94.8666916411293,
Bhutan,BTN,Individuals using the Internet (% of population),0.40094444691941,0.864628564215099,1.67580258375242,2.43691239949767,3.15698419613711,3.84710674490143,4.5183172581646,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,41.7726445321672,48.1064158774574,
Botswana,BWA,Individuals using the Internet (% of population),2.90266662177209,3.43088678702599,3.38592235064273,3.3451901740614,3.30488925316113,3.26255403605122,4.28993297515968,5.28,6.25,6.15,6,9,16,30,36.74474744423,37.3120503733278,39.36299738,47,
Central African Republic,CAF,Individuals using the Internet (% of population),0.0533941742150456,0.0785434278394038,0.128537116506299,0.151563337940017,0.223401395464406,0.268195609199012,0.311159173235716,0.375815961044797,1,1.8,2,2.2,3,3.4,3.6,3.8,4,4.33925494461827,
Canada,CAN,Individuals using the Internet (% of population),51.3,60.2,61.5932992681952,64.2,65.9559634648989,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12,90,91.16,91,
Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),7.05382123619139,10.2388299969122,18.2554759298332,22.5931210994219,29.2463406861194,34.7508894916645,40.8006088189678,45.2841740271644,50.6865288171857,55.0986207601394,58.5913129651185,59.1103467322128,61.7163415118777,63.463990446104,66.4833926132526,67.3494691319118,71.3419807922689,73.4095661289698,75.9933743459813
Switzerland,CHE,Individuals using the Internet (% of population),47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.1930281804854,85.2,86.34,87.4,87.4790555978675,89.13468774,89.68614767,
Channel Islands,CHI,Individuals using the Internet (% of population),,,,,,,,,,,,,,,,,,,
Chile,CHL,Individuals using the Internet (% of population),16.6,19.1,22.1,25.4737788864723,28.1779101232438,31.1753470303684,34.4977511736017,35.9,37.3,41.56,45,52.2496072877744,55.05,58,61.11,76.63,83.55858602,82.32748693,
China,CHN,Individuals using the Internet (% of population),1.77591320677415,2.63965021485872,4.59570433077551,6.2,7.3,8.52325700269541,10.5231526193851,16,22.6,28.9,34.3,38.3,42.3001174855995,45.8,47.9,50.3,53.2,54.3,
Cote d'Ivoire,CIV,Individuals using the Internet (% of population),0.231461670612799,0.395747702246439,0.497929360753307,0.758669629452205,0.849282414747704,1.03923820514001,1.52490079122527,1.8,1.9,2,2.7,2.9,5,12,19.2742298,38.44,41.20781493,43.83992085,46.8237270826283
Cameroon,CMR,Individuals using the Internet (% of population),0.252120077733662,0.277051321848797,0.360871584267755,0.587622611130454,0.976075415490902,1.40265422575955,2.0287447914719,2.93,3.4,3.84,4.3,5,7.5,10,16.2148722257524,20.6801476606263,23.2029719748646,23.20297197,
"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),0.0059021136806903,0.0114757819210493,0.0927907024606925,0.134914837437335,0.196208375178039,0.238037798692792,0.29605361030881,0.37,0.44,0.56,0.72,1.2,1.679961014645,2.2,3,3.799999507273,6.20997406030119,8.61990491569355,
"Congo, Rep.",COG,Individuals using the Internet (% of population),0.0263547320580279,0.0322236164306931,0.157249517243982,0.460014186837522,1.07750492958505,1.46342005950851,2.00799007938159,2.75970437370903,4.28750990276481,4.5,5,5.6,6.10669502435836,6.6,7.11,7.61597466209,8.121949323466,8.65,
Colombia,COL,Individuals using the Internet (% of population),2.207532992624,2.85419997133433,4.6,7.38892371052557,9.1186903029666,11.0072638904585,15.3416745365682,21.8,25.6,30,36.5,40.3509157546318,48.98,51.7,52.57,55.9049725142924,58.13649357,62.25988032,64.1263768204459
Comoros,COM,Individuals using the Internet (% of population),0.271740607285909,0.443068372538977,0.554869674985088,0.848189370151537,1.32732717785355,2,2.2,2.5,3,3.5,5.1,5.5,5.97529630842855,6.5,6.98,7.459161385649,7.938322770803,8.47817029542124,
Cabo Verde,CPV,Individuals using the Internet (% of population),1.82244385164396,2.68533271272311,3.5187571749658,4.32488539053715,5.31883206957883,6.07408710659813,6.80891100753313,8.28321981953034,14,21,30,32,34.74,37.5,40.26,42.68,50.32281787,57.16214635,
Costa Rica,CRI,Individuals using the Internet (% of population),5.80025302331829,9.55948213497093,19.8948511346293,20.3336148143541,20.7923067055542,22.07,25.1,28.4,32.29,34.33,36.5,39.2121959961842,47.5,45.96,53,59.7629501371681,65.8804491942718,71.3907708962224,74.0868022255159
Caribbean small states,CSS,Individuals using the Internet (% of population),4.91930591116248,8.30408436887456,11.7495839064801,14.9038067908101,16.8171367686937,19.4232960247861,22.2926656184622,24.4998464040619,27.6679876313022,31.7508974648875,35.3910946256284,42.1412538824126,42.4939916498242,45.2698401409788,48.3336918491984,50.2954681400821,52.9532109495295,59.1763508018446,
Cuba,CUB,Individuals using the Internet (% of population),0.541182548811058,1.07975172188907,3.77058503769014,5.2412690536929,8.40798475900703,9.73806220781346,11.1596013147617,11.69,12.94,14.33,15.9,16.0172907996413,21.2,27.93,29.0701843656523,37.3050974155373,42.97867519,57.14840432,
Curacao,CUW,Individuals using the Internet (% of population),,,,,,,,,,,,,,,,,61.855510740634,68.12721625,
Cayman Islands,CYM,Individuals using the Internet (% of population),,,,,,38.0343830823064,44.5,52,61,64.5,66,69.46594499,69.7,71.4,74.1,77,79,81.0676932508161,
Cyprus,CYP,Individuals using the Internet (% of population),15.2553943710137,18.8187590408455,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.8598923503507,60.6898684001903,65.4548,69.33,71.7159,75.9002054,80.74318897,84.4335825186889
Czech Republic,CZE,Individuals using the Internet (% of population),9.78052788834393,14.6971721171129,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.4300078241036,74.1104,74.2317116367383,75.668838699279,76.4811987,78.71916143,80.6881675434288
Germany,DEU,Individuals using the Internet (% of population),30.2163466048889,31.650939416316,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.26999953602,82.3499984738392,84.17,86.19,87.5897993525767,84.1652066441212,84.39550077,89.7391210364906
Djibouti,DJI,Individuals using the Internet (% of population),0.194500528399956,0.343526262964202,0.48697170451894,0.625940229399888,0.781317175068661,0.953611449300569,1.27004115919322,1.62,2.26,4,6.5,7,8.26723289204519,9.5,10.71,11.9224314345,13.1349151074,55.68140925,
Dominica,DMA,Individuals using the Internet (% of population),8.81484419762881,13.2452280386761,18.4248927671241,23.6204198529629,30.3196130921568,38.5436432637571,39.39817430347,40.2744630071599,41.16,42.02,47.45,48.6,49.8,51,57.5,65,67.03,69.6196687942039,
Denmark,DNK,Individuals using the Internet (% of population),39.1724308555053,42.9575247201878,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.8100133895232,92.2600117153012,94.6297,95.99,96.3305,96.96778525,97.09936216,97.3192043651002
Dominican Republic,DOM,Individuals using the Internet (% of population),3.70469235587688,4.42939069666645,6.8237257325842,7.89839293716387,8.8655534607044,11.4831977789344,14.8449283654589,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.2157663369785,63.87086474,67.57123468,74.8242898588721
Algeria,DZA,Individuals using the Internet (% of population),0.491705679141589,0.646114016703792,1.59164126035832,2.19535973086144,4.63447508776537,5.84394209201256,7.37598495634886,9.45119062555304,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.9455268800332,47.6910551485548,49.0384680793271
East Asia & Pacific (excluding high income),EAP,Individuals using the Internet (% of population),1.89386467564035,2.77799334403068,4.40510188775916,5.76259077112944,6.88291617885035,8.31300609268548,10.1680244795488,14.3849555089252,19.2725284794438,23.7890210408462,28.9798350006277,32.4044588546328,36.0824061776906,39.7164193738067,42.0618027503957,44.2904169012046,48.7288078320717,51.1687446617394,
Early-demographic dividend,EAR,Individuals using the Internet (% of population),1.22726119280249,1.68205502203813,2.82828584738495,3.39543202853432,4.20164812362651,4.87393456475582,5.75267095446092,7.31451993402641,8.47397596468619,9.66419684431853,12.7928570244362,15.4256703432616,18.0765076300807,20.909936137594,25.4490759552826,25.7726539304168,30.1667498501354,38.0290615571683,
East Asia & Pacific,EAS,Individuals using the Internet (% of population),5.60924070520304,7.27835490447805,9.03018298381158,10.5833990436361,12.6339668767849,14.6865023197303,16.6375335680047,20.7904574744049,25.2855108798602,29.5506961195956,34.2705539668784,37.4023237120308,40.7437540265865,44.6092050653925,46.8384771599822,48.9987474831424,53.1874208856586,55.0732656812101,
Europe & Central Asia (excluding high income),ECA,Individuals using the Internet (% of population),1.97077591229033,2.87824511455791,5.01176242841905,7.30001771509191,10.7063046449593,12.4900429967687,15.0237677646188,20.3921152361955,23.8993210606319,27.4605930933097,35.6206969378559,40.5454110683895,48.826869262302,52.7891291854631,56.8994546420232,58.7934861661921,62.5179342050343,66.5874019895265,73.1086018721316
Europe & Central Asia,ECS,Individuals using the Internet (% of population),13.1562465569984,16.3803266870547,23.0071049499745,28.3097470741477,32.2957215791325,35.1437481475662,38.0102339731288,43.6168164513193,47.3177041996224,50.5358475752333,56.0868823063161,58.7933713369437,63.5904777750172,66.312355609957,68.9892517239431,70.0439970070619,72.4462776781183,75.027820684689,79.7532365709452
Ecuador,ECU,Individuals using the Internet (% of population),1.46218853556457,2.67044367376705,4.26079691519764,4.46022834472698,4.83444263759525,5.99425516097331,7.2,10.8,18.8,24.6,29.03,31.3668083587433,35.1351464545516,40.279121941,45.5903906666095,48.9404337892669,54.06292473,57.2722436831024,
"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),0.641265037504813,0.838945611477604,2.71999971465421,4.03788510706701,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.8946039115275,37.8193834276939,41.24806709,44.95020425,46.9243380864905
Euro area,EMU,Individuals using the Internet (% of population),22.4661113155009,27.3077599545243,35.0832824920163,42.0090697589714,47.3733912210337,51.1540400973963,54.8404585401202,61.3120809463331,64.7962518469251,67.1057686897968,71.0275515545602,72.0141026370331,74.119007019637,75.8502877943212,77.0890936114147,77.4725358831233,77.9894549315985,79.6608735641209,83.7784758771368
Eritrea,ERI,Individuals using the Internet (% of population),0.136711941104496,0.157815289303043,0.227090137626716,,,,,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.083733115675,1.177118720157,1.3089069798665,
Spain,ESP,Individuals using the Internet (% of population),13.6249608089899,18.1487226902932,20.39,39.93,44.01,47.88,50.37,55.11,59.6,62.4,65.8,67.0899993926581,69.8099999420024,71.635,76.19,78.6896,80.56133294,84.6022428,86.1072355256591
Estonia,EST,Individuals using the Internet (% of population),28.5769538105646,31.5274897673756,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.3899259259259,80.0043,84.2415280294352,88.4097035040431,87.24023275,88.10245687,89.3570077747426
Ethiopia,ETH,Individuals using the Internet (% of population),0.0152637672082567,0.0371623810686744,0.0724022618698295,0.105811658802603,0.155334520794722,0.219659818999505,0.310592656856176,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.8551755555556,15.36692386,18.6180514528264,
European Union,EUU,Individuals using the Internet (% of population),19.6472090518888,24.1390456912712,32.1283038832884,38.6078954832489,44.1874391282233,48.302154297526,52.5504969404769,58.2495055282774,62.2506053935069,64.99325091727,68.6960749036306,69.6621562023983,71.8575020013322,73.610297162146,75.1854223353415,75.6546433209609,76.9132040441304,78.7555392217634,82.4115122377492
Fragile and conflict affected situations,FCS,Individuals using the Internet (% of population),0.39247032302553,0.427016704466989,0.686790750666381,1.02882295803229,1.47143197304113,2.55361029409035,3.62207687408764,4.91409610626236,5.58930495431766,6.85948728650235,8.97792256594865,10.2410391109095,12.3403920849243,14.4753683005938,16.3762881966818,24.8216393281779,20.1612854596406,28.7721972376111,
Finland,FIN,Individuals using the Internet (% of population),37.2484617371121,43.1053633522263,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.70999491353,89.879997974222,91.5144,86.5303927529377,86.4221333325445,87.70364996,87.46892907,88.8899599985585
Fiji,FJI,Individuals using the Internet (% of population),1.4968547339902,1.8579785936093,6.15264970011985,6.72543473821551,7.4129434854202,8.45363663371359,9.6000384001536,10.8978310454645,13,17,20,28,33.7423567521104,35.2,37.4,42.5,46.5069783122217,49.9663730102662,
France,FRA,Individuals using the Internet (% of population),14.3079239430677,26.3259035521688,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.8199989926706,81.44,81.9198,83.75,78.01,79.26981132,80.50245972,82.0431867788484
Faroe Islands,FRO,Individuals using the Internet (% of population),32.916392363397,43.2469835228993,53.2992218313613,58.9126409695337,66.5335994677312,67.9026317413939,69.359445124439,75.98,75.57,75.18,75.2,80.7321728,85.3351892392109,90,93.3,94.2,95.1086816720257,97.5819589384468,
"Micronesia, Fed. Sts.",FSM,Individuals using the Internet (% of population),3.73486213690137,4.66052719883673,5.57009970478472,9.23250210039423,11.0178673081514,11.8813690993008,12.7503392500979,13.6211327333981,14.49,15.35,20,22.8,25.9744230029883,27.8,29.65,31.501081275309,33.352162552269,35.3040528661747,
Gabon,GAB,Individuals using the Internet (% of population),1.21614061828589,1.34762022159633,1.93953010616212,2.65958659385985,2.97906980035019,4.89326474972412,5.48920080280135,5.76700457562583,7.5,9.5,13,18,24,30.53803344,38.07120929,45.78453653,48.0522737506185,62,
United Kingdom,GBR,Individuals using the Internet (% of population),26.8217543508578,33.4810948744147,56.48,64.82,65.61,70,68.82,75.09,78.39,83.56,85,85.3799985496322,87.4799984242111,89.8441,91.61,92.0003,94.77580063,94.62,94.8967417605954
Georgia,GEO,Individuals using the Internet (% of population),0.484746298540492,0.992344436138154,1.58787562980332,2.55881648068489,3.88622135350273,6.07945762869794,7.52687684487832,8.26,10.01,20.07,26.9,31.52,36.94,43.3,44,47.5697596438736,58.4592896118725,59.7055045962571,62.7179081736957
Ghana,GHA,Individuals using the Internet (% of population),0.153615297625799,0.200008060324831,0.830284033818739,1.19305791098328,1.71679770389504,1.83119746104616,2.72317597313987,3.85,4.27,5.44,7.8,9,10.6,15,25.51773743,25,34.66600065,39,
Gibraltar,GIB,Individuals using the Internet (% of population),19.1316381248919,21.171109436031,23.670239745714,28.3257797920554,32.8860826098395,39.0701308849385,45.29864751181,51.61,58,65.07,65,65,65.017,,,,94.4444715818151,,
Guinea,GIN,Individuals using the Internet (% of population),0.0954249236063846,0.175541868491054,0.402022748744397,0.450960370842751,0.508819332302937,0.542254180996637,0.637492122987955,0.780025279059244,0.92,0.94,1,2,3.1,4.5,6.4,8.2,9.8,18,
"Gambia, The",GMB,Individuals using the Internet (% of population),0.921794919066406,1.33679116648397,1.79677988296495,2.436781193062,3.30800347812937,3.79900113882231,5.23769115841218,6.20503741852418,6.88,7.63,9.2,10.8703,12.4492287209242,14,15.56,16.5,18.5,19.8364544419252,
Guinea-Bissau,GNB,Individuals using the Internet (% of population),0.230103170591588,0.299569144677667,1.02299323436117,1.35419747762901,1.80814220342991,1.90136531610877,2.0571967045036,2.20630223745003,2.35488871087933,2.30328059172582,2.45,2.672,2.89399062085531,3.1,3.32,3.540706917021,3.761413832337,3.93050915199411,
Equatorial Guinea,GNQ,Individuals using the Internet (% of population),0.132354665123789,0.16526042288306,0.321197997152044,0.520524272046806,0.843930284607049,1.14978967061811,1.27919359635686,1.55712305943539,1.82,2.13,6,11.5,13.9431821913076,16.4,18.86,21.319999985207,23.779999971074,26.2399999569409,
Greece,GRC,Individuals using the Internet (% of population),9.13883730776798,10.9350258080278,14.67,17.8,21.42,24,32.25,35.88,38.2,42.4,44.4,51.6499951676815,55.0699934418411,59.8663,63.21,66.835,69.08791547,70.5494334521129,72.952094201811
Grenada,GRD,Individuals using the Internet (% of population),4.06390799146313,5.12810398216998,14.7588405454867,18.6451821830564,19.5706205843787,20.4878048780488,21.3959911692909,22.29,23.18,24.05,27,30,32,35,51.6,53.81,55.8564078225865,59.071735362999,
Greenland,GRL,Individuals using the Internet (% of population),31.7478112321162,35.4641368915684,44.154789028418,54.5342598293605,56.0990147610533,57.7034045008656,59.361687268664,61.07,62.82,62.83,63,64,64.8960100995989,65.8,66.7,67.600443481006,68.500873675421,69.4824617821988,
Guatemala,GTM,Individuals using the Internet (% of population),0.712332904508925,1.7382017815873,3.39174627024502,4.54885490848324,5.1,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16,19.7,23.4,28.8059415553524,34.5093260915602,65,
Guam,GUM,Individuals using the Internet (% of population),16.1131270423389,25.3802275337398,31.1922942556271,33.7166817880876,36.1617878387908,38.559877557558,43.8514430048178,46.1504736192355,48.4187021509296,50.6420283820435,54.04,57.7,61.5341593079002,65.4,69.27,73.139999947043,77.009999893206,80.5054655600831,
Guyana,GUY,Individuals using the Internet (% of population),6.61149156572021,13.2069864958563,,,,,,13.8,18.2,23.9,29.9,30,30.5,31,32,34,35.66,37.3258367878094,
High income,HIC,Individuals using the Internet (% of population),30.4774735437544,36.547076446718,44.9670825227032,49.6860432163227,54.8680003675252,58.5592926362245,61.2771314113139,66.6737116725843,68.7958884604582,70.0491781753657,72.1465137320951,72.7037280793324,75.3889416226458,76.7535227694651,78.4063990028465,79.8005428085104,84.167976882366,85.0157729128049,
"Hong Kong SAR, China",HKG,Individuals using the Internet (% of population),27.8277606812581,38.6714032309569,43.0823830278909,52.2000433497404,56.3998803935333,56.9,60.8,64.8,66.7,69.4,72,72.2,72.9,74.2,79.8662704309064,84.9483529634062,87.47941467,89.41594465,90.5073953294283
Honduras,HND,Individuals using the Internet (% of population),1.20385599891878,1.41528193123711,2.5974025974026,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.09,15.9,18.12,17.8,19.08,27.1,29.5,31.7,
Heavily indebted poor countries (HIPC),HPC,Individuals using the Internet (% of population),0.174022851526195,0.257960142760677,0.395941158365664,0.606432921368041,0.916881862454822,1.21438155174544,1.55836014893627,2.42900295469472,2.5134516631323,3.12705313039803,4.7311833750084,5.33831655179262,6.60832667449049,8.07053546257962,10.4015257119962,14.6433552906992,15.350698495892,19.3528385873458,
Croatia,HRV,Individuals using the Internet (% of population),6.64488254374396,11.5585731811648,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.7899789891444,61.9399731527956,66.7476,68.57,69.8031,72.69726967,67.09619204,75.2946259897258
Haiti,HTI,Individuals using the Internet (% of population),0.231270714628821,0.340832326173809,0.893432988337908,1.64735834557778,5.401261907622,6.37620163504938,6.79600048052951,7.2,7.6,8.1,8.37,9,9.8,10.6,11.4,12.1977,12.2326016070408,12.3261035817213,32.4736271300557
Hungary,HUN,Individuals using the Internet (% of population),6.99967635062916,14.5285543028277,16.67,21.63,27.74,38.97,47.06,53.3,61,62,65,68.0199878861296,70.579998153838,72.6439,75.6531974544103,72.8347,79.25941213,76.75054712,76.0743606365063
IBRD only,IBD,Individuals using the Internet (% of population),1.86663771127352,2.68469660364829,4.48906319013411,5.7657794920552,7.37519266678834,8.68153193526285,10.5163447918008,13.7361407354042,16.9538700580487,20.297543929255,24.8287165674382,28.3173627656863,32.1011392229437,35.1665797577726,38.8634974345758,40.0222468431686,43.9136195677596,50.1651895347146,
IDA & IBRD total,IBT,Individuals using the Internet (% of population),1.56129767082484,2.19086677854148,3.67080864124592,4.78432811123371,6.1246239690911,7.24552774249316,8.87051044703737,11.4587830752636,14.1009475792528,16.8344489830502,20.5702223435756,23.4048392130252,26.5899827738554,29.2759527232471,32.7205043084315,34.6913960631493,37.5202086974011,43.323287272363,
IDA total,IDA,Individuals using the Internet (% of population),0.169209981800662,0.388529394078612,0.722849610488032,1.29125916354877,1.72026409366088,2.23432697209245,2.95725477954702,3.75984343797327,4.26812003216536,5.05124597578646,6.50087420359764,7.51637742692841,9.0065294841061,10.816145044558,13.7179042904947,18.4100260987603,18.2476082531591,22.9964303116938,
IDA blend,IDB,Individuals using the Internet (% of population),,0.733391441052576,1.44605399521447,2.7822365668771,3.59100472553187,4.54806692867629,5.6174887436995,6.38589231420559,7.13305225322527,8.12249605461371,9.55941529876918,11.2271929152489,13.1700618413751,15.3821615734144,17.7257316467826,24.6029457694124,20.8029340785739,28.3600644648698,
